season,week,game_id,away_team,home_team,away_off_rank,away_def_rank,home_off_rank,home_def_rank,away_score,home_score
2016,1,2016_01_BUF_BAL,BUF,BAL,1,1,1,1,7,13
2016,1,2016_01_CAR_DEN,CAR,DEN,1,1,1,1,20,21
2016,1,2016_01_CHI_HOU,CHI,HOU,1,1,1,1,14,23
2016,1,2016_01_CIN_NYJ,CIN,NYJ,1,1,1,1,23,22
2016,1,2016_01_CLE_PHI,CLE,PHI,1,1,1,1,10,29
2016,1,2016_01_DET_IND,DET,IND,1,1,1,1,39,35
2016,1,2016_01_GB_JAX,GB,JAX,1,1,1,1,27,23
2016,1,2016_01_LA_SF,LA,SF,1,1,1,1,0,28
2016,1,2016_01_MIA_SEA,MIA,SEA,1,1,1,1,10,12
2016,1,2016_01_MIN_TEN,MIN,TEN,1,1,1,1,25,16
2016,1,2016_01_NE_ARI,NE,ARI,1,1,1,1,23,21
2016,1,2016_01_NYG_DAL,NYG,DAL,1,1,1,1,20,19
2016,1,2016_01_OAK_NO,OAK,NO,1,1,1,1,35,34
2016,1,2016_01_PIT_WAS,PIT,WAS,1,1,1,1,38,16
2016,1,2016_01_SD_KC,SD,KC,1,1,1,1,27,33
2016,1,2016_01_TB_ATL,TB,ATL,1,1,1,1,31,24
2016,2,2016_02_ATL_OAK,ATL,OAK,11,18,3,20,35,28
2016,2,2016_02_BAL_CLE,BAL,CLE,19,2,21,17,25,20
2016,2,2016_02_CIN_PIT,CIN,PIT,12,11,2,7,16,24
2016,2,2016_02_DAL_WAS,DAL,WAS,16,9,17,22,27,23
2016,2,2016_02_GB_MIN,GB,MIN,9,12,10,7,14,17
2016,2,2016_02_IND_DEN,IND,DEN,3,23,14,9,20,34
2016,2,2016_02_JAX_SD,JAX,SD,12,15,9,19,14,38
2016,2,2016_02_KC_HOU,KC,HOU,5,15,12,6,12,19
2016,2,2016_02_MIA_NE,MIA,NE,21,4,12,10,24,31
2016,2,2016_02_NO_NYG,NO,NYG,4,21,15,8,13,16
2016,2,2016_02_NYJ_BUF,NYJ,BUF,13,12,22,5,37,31
