matchup_id,away_team,home_team,spread,spread_line,pred_margin,fair_spread,home_win_prob,su_pick,fav,dog,decision,decision_prob,p_over_honest,pred_margin_scaled,p_over
1,NE,SEA,SEA -3.5,3.5,4.3,SEA -4.5,0.627,SEA,SEA,NE,cover,0.534,0.488,4.63,0.534
2,SF,LAR,LAR -3.5,3.5,3.62,LAR -3.5,0.607,LAR,LAR,SF,cover,0.512,0.488,3.9,0.512
3,TB,CIN,CIN -3.5,3.5,2.31,CIN -2.5,0.569,CIN,CIN,TB,points,0.47,0.488,2.49,0.47
4,NO,DET,DET -6.5,6.5,5.96,DET -6,0.673,DET,DET,NO,points,0.498,0.488,6.43,0.498
5,NYJ,TEN,TEN -1.5,1.5,2.13,TEN -2,0.564,TEN,TEN,NYJ,cover,0.524,0.488,2.3,0.524
6,BAL,IND,BAL -3.5,-3.5,-0.11,PK,0.497,BAL,BAL,IND,points,0.4,0.488,-0.12,0.4
7,ATL,PIT,PIT -3.5,3.5,3.99,PIT -4,0.618,PIT,PIT,ATL,cover,0.524,0.488,4.3,0.524
8,CHI,CAR,CHI -2.5,-2.5,-0.58,CHI -0.5,0.483,CHI,CHI,CAR,points,0.444,0.488,-0.62,0.444
9,CLE,JAX,JAX -8.5,8.5,6.9,JAX -7,0.698,JAX,JAX,CLE,points,0.468,0.488,7.44,0.468
10,BUF,HOU,BUF -1,-1,2.34,HOU -2.5,0.57,HOU,BUF,HOU,points,0.396,0.488,2.52,0.396
11,MIA,LV,LV -3.5,3.5,-1.02,MIA -1,0.47,MIA,LV,MIA,points,0.365,0.488,-1.1,0.365
12,GB,MIN,MIN -1.5,1.5,2.84,MIN -3,0.585,MIN,MIN,GB,cover,0.547,0.488,3.06,0.547
13,WAS,PHI,PHI -5,5,5.38,PHI -5.5,0.657,PHI,PHI,WAS,cover,0.524,0.488,5.8,0.524
14,ARI,LAC,LAC -10,10,6.81,LAC -7,0.696,LAC,LAC,ARI,points,0.421,0.488,7.34,0.421
15,DAL,NYG,DAL -2.5,-2.5,1.25,NYG -1.5,0.537,NYG,DAL,NYG,points,0.386,0.488,1.35,0.386
16,DEN,KC,KC -3,3,-1.6,DEN -1.5,0.452,DEN,KC,DEN,points,0.361,0.488,-1.72,0.361
