season,week,home_team,away_team,pred_margin,fair_spread,home_win_prob,clf_win_prob,pick
2026,1,JAX,CLE,4.8,JAX -5,0.6409137413406050,0.6651302077791580,JAX
2026,1,LAC,ARI,4.8,LAC -5,0.6409137413406050,0.6624966398265370,LAC
2026,1,DET,NO,4.1,DET -4,0.6210618115718390,0.6366056071840190,DET
2026,1,PHI,WAS,3.6,PHI -3.5,0.6066801474419980,0.618290107888098,PHI
2026,1,SEA,NE,2.7,SEA -2.5,0.5804354222856770,0.5833358534019060,SEA
2026,1,PIT,ATL,2.4,PIT -2.5,0.5716007905773830,0.5732991105919140,PIT
2026,1,LA,SF,2.1,LA -2,0.5627301272835970,0.5609660068993920,LA
2026,1,MIN,GB,1.5,MIN -1.5,0.5448982875161310,0.5350764612727130,MIN
2026,1,HOU,BUF,1.1,HOU -1,0.5329576479557020,0.5182831449683130,HOU
2026,1,CIN,TB,1.0,CIN -1,0.5299674220651280,0.517276672164255,CIN
2026,1,TEN,NYJ,0.9,TEN -1,0.5269755052608920,0.5112900670257360,TEN
2026,1,NYG,DAL,0.2,PK,0.5059989059472600,0.48167830144006600,NYG
2026,1,IND,BAL,-1.0,BAL -1,0.47003257793487200,0.43631159145798900,BAL
2026,1,CAR,CHI,-1.3,CHI -1.5,0.46106764464010200,0.42088032383733500,CHI
2026,1,LV,MIA,-1.7,MIA -1.5,0.4491458895996670,0.4065403957977680,MIA
2026,1,KC,DEN,-2.2,DEN -2,0.4343092509755530,0.3878333343424040,DEN
